qseqid sseqid intron_length intron_position_on_target supercontig_length
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 26914 490 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 25251 490 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 1336 729 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 327 854 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 41459 490 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 1342 729 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 248 854 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 588 1258 101211
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 465 1473 101211
VV02G03470_SIM1_transcript_5144-simsii_cds CM030789.1 2919487 872 2922124
VV02G03470_SIM1_transcript_5144-simsii_cds CM030789.1 775 1812 2922124
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 171 1688 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 91 1566 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 101 1470 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 147 1353 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 338 1281 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 187 1148 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 71 1026 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 1093 921 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 708 790 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 62 613 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 397 470 5439
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 189 333 5439
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 809 1630 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 421 391 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 608 564 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 842 651 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 76 856 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 94 1112 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 592 1203 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 101 1421 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 1068 1632 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 11299 1526 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 3115 651 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 76 856 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 97 1112 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 549 1203 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 101 1404 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 1093 1632 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 16763 1526 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 15 1632 55395
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 14487 1519 55395
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 1076 1563 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 75 1435 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 1024 1188 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 124 1147 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 1592 1028 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 83 712 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 61 596 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 1575 487 9100
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 1618 352 9100
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 1324 752 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 1236 841 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 75 971 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 8037 1163 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 734 1459 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 95 1628 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 160 1838 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 1622 1948 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 90 2123 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 1617 2175 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 1401 2587 19871
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 560 2877 19871
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 1027 319 4149
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 119 515 4149
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 251 793 4149
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 110 880 4149
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 857 1016 4149
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 477 1105 4149
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 101 1188 4149
VV07G12970_SIM1_transcript_28563-simsii_cds CM030800.1 290 985 4750
VV07G12970_SIM1_transcript_28563-simsii_cds CM030800.1 3219 1232 4750
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 340 995 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 33366320 2928 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 113 2851 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 89 2808 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 824 2750 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 269 2633 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 247 2589 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 405 2332 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 119 2252 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 244 2082 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 78 2018 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 1424 1948 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 370 1706 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 567 1596 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 763 1337 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 87 1296 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 262 1082 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 344 995 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 261 874 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 88 786 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 687 703 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 566 639 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 93 568 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 76 455 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 856 411 33379747
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 1049 340 33379747
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 756 1718 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 596 1540 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 86 1449 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 487 1332 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 611 1127 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 69 1011 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 704 955 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 119 848 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 71 769 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 124 531 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 98 450 6827
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 1133 378 6827
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 3137 994 5568
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 314 848 5568
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 166 711 5568
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 136 630 5568
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 174 469 5568
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 457 214 5568
VV11G09320_WIL1_transcript_14297-williamsianum_cds CM030799.1 8 1335 25044
VV11G09320_WIL1_transcript_14297-williamsianum_cds CM030799.1 15656 2589 25044
VV11G09320_WIL1_transcript_14297-williamsianum_cds CM030799.1 1641 2589 25044
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 818 709 6285
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 650 781 6285
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 339 894 6285
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 73 986 6285
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 2417 1080 6285
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 82 1209 6285
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 431 1464 6285
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 187 1464 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 32 1338 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 201 1305 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 822 1226 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 1003 1093 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 827 978 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 177 771 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 147 664 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 73 573 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 106 500 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 98 364 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 603 265 5942
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 105 99 5942
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 2696 1472 6255
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 615 1334 6255
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 596 1098 6255
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 114 746 6255
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 192 524 6255
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 1093 1447 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 78 1372 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 995 1297 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 114 1210 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 152 1070 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 97 897 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 681 741 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 94 525 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 115 270 6805
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 1636 67 6805
VV14G02430_SIM1_transcript_22432-simsii_cds CM030797.1 851 4038 5371
VV14G02430_SIM1_transcript_22432-simsii_cds CM030797.1 392 4130 5371
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 99 106 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 601 279 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 601 417 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 74 534 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 448 650 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 929 780 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 201 825 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 787 1025 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 86 1227 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 1262 1506 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 110 1659 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 684 2047 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 178 2196 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 478 2278 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 84 2402 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 798 2592 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 158 2734 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 257 2872 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 1725 3080 13383
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 623 3195 13383
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 633 1776 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 456 1557 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 330 1338 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 237 1218 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 102 1109 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 216 820 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 234 726 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 148 576 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 888 489 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 86 361 6151
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 958 111 6151
VV15G07440_WIL1_transcript_16180-williamsianum_cds CM030789.1 84 348 10982
VV15G07440_WIL1_transcript_16180-williamsianum_cds CM030789.1 8050 1129 10982
VV15G07440_WIL1_transcript_16180-williamsianum_cds CM030789.1 1444 1407 10982
VV16G08460_DEL1_transcript_5135-delavayi_cds CM030796.1 896 1001 3123
VV16G08460_DEL1_transcript_5135-delavayi_cds CM030796.1 1103 1116 3123
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 2231 535 5961
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 164 659 5961
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 1062 1107 5961
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 208 1182 5961
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 99 1320 5961
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 343 1521 5961
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 241 1605 5961
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 511 1393 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 870 1176 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 621 950 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 364 678 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 99 587 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 80 478 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 668 418 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 189 280 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 91 173 6259
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 1244 122 6259
VV18G02000_SIM1_transcript_24802-simsii_cds CM030798.1 2068 601 5544
VV18G02000_SIM1_transcript_24802-simsii_cds CM030798.1 1177 915 5544
VV18G02000_SIM1_transcript_24802-simsii_cds CM030798.1 770 1163 5544
VV18G02000_SIM1_transcript_24802-simsii_cds CM030798.1 117 1521 5544
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030793.1 848 1364 1416
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 124 1364 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 176 957 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 151 911 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 148 845 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 92 685 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 112 517 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 821 355 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 122 285 3870
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 612 161 3870
VV18G14170_DEL1_transcript_12420-delavayi_cds CM030798.1 31027 2469 33595
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 535 421 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 128 626 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 506 794 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 81 937 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 5253 1050 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 141 1167 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 105 1266 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 90 1358 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 411 1446 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 1491 1533 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 111 1608 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 1234 1707 11797
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 1281 421 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 126 626 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 603 794 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 81 937 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 473 1050 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 141 1167 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 97 1266 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 90 1358 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 1503 1446 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 1409 1533 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 109 1608 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 1362 1707 8986
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 577 1266 2051
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 96 1167 2051
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 151 1050 2051
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 486 937 2051
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 80 794 2051
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 862 654 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 809 797 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 78 848 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 437 1020 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 114 1342 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 1079 1547 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 100 2043 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 102 2253 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 473 2446 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 134 2615 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 995 2769 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 87 2850 9267
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 725 3240 9267
VV00G14280_DEL1_transcript_16229-delavayi_cds CM030790.1 2110 494 3736
VV00G14280_DEL1_transcript_16229-delavayi_cds CM030790.1 101 435 3736
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 92 186 3863
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 1420 328 3863
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 164 397 3863
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 83 1045 3863
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 478 1150 3863
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 83 1551 3863
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 641 622 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 127 754 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 95 870 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 123 996 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 102 1144 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 145 1300 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 1078 1643 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 82 1695 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 790 1833 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 3713539 1833 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 920 1300 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 130 1144 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 320 868 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 93 756 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 129 622 3720903
VV00G20570_SIM1_transcript_22930-simsii_cds CM030799.1 5983 1442 31115
VV00G20570_SIM1_transcript_22930-simsii_cds CM030799.1 19057 1446 31115
VV00G20570_SIM1_transcript_22930-simsii_cds CM030799.1 5475 1442 31115
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 1119 2370 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 152 2263 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 217 2128 7159
