qseqid mean_paralogy_rate paralog_percent full_percent unique_percent missing_percent n_chroms
VV01G01720_DEL1_transcript_2813-delavayi_cds 2.2 56.5 98.3 41.8 1.7 1
VV02G03470_SIM1_transcript_5144-simsii_cds 1 3.9 100 96.1 0 1
VV03G03980_DEL1_transcript_14030-delavayi_cds 1 4.2 100 95.8 0 1
VV03G07530_SIM1_transcript_11191-simsii_cds 2 71 95.5 24.6 4.5 2
VV04G03160_WIL1_transcript_20092-williamsianum_cds 1 2.3 100 97.7 0 1
VV04G10690_WIL1_transcript_8904-williamsianum_cds 1 1.8 100 98.2 0 1
VV06G12680_SIM1_transcript_1967-simsii_cds 1 0 100 100 0 1
VV07G11870_DEL1_transcript_15992-delavayi_cds 1 2.4 100 97.6 0 1
VV07G12970_SIM1_transcript_28563-simsii_cds 1 0.9 96 95 4 1
VV08G06250_WIL1_transcript_20538-williamsianum_cds 1.1 12.6 100 87.4 0 2
VV09G06280_WIL1_transcript_14600-williamsianum_cds 1 1.3 99.2 97.9 0.8 1
VV11G03570_DEL1_transcript_2399-delavayi_cds 1 0 100 100 0 1
VV11G09140_DEL1_transcript_15444-delavayi_cds 1 2.1 100 97.9 0 1
VV11G09320_WIL1_transcript_14297-williamsianum_cds 3 100 100 0 0 1
VV12G05390_DEL1_transcript_15015-delavayi_cds 1 1.4 100 98.6 0 1
VV12G09960_DEL1_transcript_14823-delavayi_cds 1 0 100 100 0 1
VV13G09500_DEL1_transcript_21643-delavayi_cds 1 2.3 100 97.7 0 1
VV13G11390_DEL1_transcript_28452-delavayi_cds 1 0.4 100 99.6 0 1
VV13G12180_SIM1_transcript_15733-simsii_cds 1 1.8 100 98.2 0 1
VV14G02430_SIM1_transcript_22432-simsii_cds 1 0.1 99.7 99.6 0.3 1
VV14G09610_SIM1_transcript_11652-simsii_cds 1 1.8 99 97.2 1 1
VV14G11110_WIL1_transcript_19167-williamsianum_cds 1.1 8.9 98.7 89.8 1.3 2
VV15G07440_WIL1_transcript_16180-williamsianum_cds 1 0.4 100 99.6 0 1
VV16G08460_DEL1_transcript_5135-delavayi_cds 1 1.1 100 98.9 0 1
VV16G09340_WIL1_transcript_3375-williamsianum_cds 1 1.5 100 98.5 0 1
VV17G01250_WIL1_transcript_14371-williamsianum_cds 1 2 100 98 0 1
VV17G02640_DEL1_transcript_11874-delavayi_cds 1 0 100 100 0 1
VV18G02000_SIM1_transcript_24802-simsii_cds 0.9 0.8 91.7 90.9 8.3 1
VV18G12560_WIL1_transcript_9399-williamsianum_cds 1.4 38.9 100 61.1 0 2
VV18G14170_DEL1_transcript_12420-delavayi_cds 1.1 6.4 100 93.6 0 2
VV00G02700_SIM1_transcript_11046-simsii_cds 2.4 98.2 98.2 0 1.8 3
VV00G11420_WIL1_transcript_16813-williamsianum_cds 1.2 18.9 99.9 81.1 0.1 2
VV00G14280_DEL1_transcript_16229-delavayi_cds 1 0.5 100 99.5 0 1
VV00G19360_WIL1_transcript_1321-williamsianum_cds 1 1.3 98.6 97.4 1.4 1
VV00G20570_SIM1_transcript_22930-simsii_cds 2.2 80.1 100 19.9 0 4
VV01G00460_DEL1_transcript_24861-delavayi_cds 1 2.5 100 97.5 0 1
VV01G01060_SIM1_transcript_26254-simsii_cds 1.1 12.6 100 87.4 0 1
VV01G02980_SIM1_transcript_20743-simsii_cds 1 1.1 100 98.9 0 1
VV01G04530_DEL1_transcript_7153-delavayi_cds 1 0 100 100 0 1
VV01G05290_DEL1_transcript_4832-delavayi_cds 1 0.3 100 99.7 0 1
VV01G10050_WIL1_transcript_13679-williamsianum_cds 1 0 100 100 0 1
VV01G11840_WIL1_transcript_18346-williamsianum_cds 2.2 81.4 99.4 18 0.6 1
VV01G11870_SIM1_transcript_26685-simsii_cds 1 1.7 98.4 96.6 1.6 1
VV02G01120_DEL1_transcript_29365-delavayi_cds 2.2 18.6 99.9 81.3 0.1 8
VV03G00570_SIM1_transcript_11268-simsii_cds 1.8 84.5 89.5 5 10.5 1
VV03G04190_SIM1_transcript_26027-simsii_cds 1.2 15.9 100 84.1 0 1
VV03G09260_SIM1_transcript_31353-simsii_cds 2 25.2 100 74.8 0 4
VV03G10970_SIM1_transcript_11343-simsii_cds 1.2 23.6 100 76.4 0 2
VV04G01530_DEL1_transcript_15735-delavayi_cds 2.1 100 100 0 0 3
VV04G03540_DEL1_transcript_8169-delavayi_cds 1 0.2 100 99.8 0 1
VV04G09920_DEL1_transcript_24584-delavayi_cds 1 1.7 100 98.3 0 1
VV04G12990_DEL1_transcript_10303-delavayi_cds 6.5 32.1 98.2 66.1 1.8 12
VV05G07090_WIL1_transcript_17381-williamsianum_cds 2.6 65 99.7 34.7 0.3 10
VV05G10000_DEL1_transcript_27984-delavayi_cds 1.1 7 100 93 0 2
VV06G02060_SIM1_transcript_2298-simsii_cds 1.4 20.8 100 79.2 0 2
VV06G03530_SIM1_transcript_28928-simsii_cds 1 0 97.9 97.9 2.1 1
VV06G08760_SIM1_transcript_29112-simsii_cds 1.1 4.6 98.5 93.9 1.5 4
VV06G10880_DEL1_transcript_15400-delavayi_cds 1 0 100 100 0 1
VV06G11650_SIM1_transcript_30332-simsii_cds 1.2 18.4 96.4 78 3.6 1
VV06G12340_DEL1_transcript_8718-delavayi_cds 2.3 100 100 0 0 1
VV07G00640_DEL1_transcript_28792-delavayi_cds 1 0 100 100 0 1
VV07G03650_WIL1_transcript_4052-williamsianum_cds 1 2.4 100 97.6 0 1
VV07G06180_DEL1_transcript_18684-delavayi_cds 1.2 8.1 100 91.9 0 3
VV07G08140_DEL1_transcript_1902-delavayi_cds 1.3 26.7 100 73.3 0 2
VV07G10730_DEL1_transcript_6255-delavayi_cds 1 0.1 100 99.9 0 1
VV07G12390_WIL1_transcript_7323-williamsianum_cds 1 0.4 100 99.6 0 1
VV08G00090_SIM1_transcript_12497-simsii_cds 2.8 94.7 94.7 0 5.3 1
VV08G01030_SIM1_transcript_5930-simsii_cds 2.2 87.1 99.9 12.9 0.1 6
VV08G03580_SIM1_transcript_9086-simsii_cds 1.6 56.3 100 43.7 0 3
VV08G05840_DEL1_transcript_11482-delavayi_cds 5 100 100 0 0 4
VV08G07770_SIM1_transcript_8951-simsii_cds 1 2.3 93.9 91.6 6.1 1
VV08G10800_DEL1_transcript_5350-delavayi_cds 1.8 51.6 100 48.4 0 6
VV08G11170_SIM1_transcript_6192-simsii_cds 1 1.5 96.8 95.4 3.2 1
VV08G13180_DEL1_transcript_30514-delavayi_cds 1.2 4.6 100 95.4 0 6
VV09G01630_DEL1_transcript_3569-delavayi_cds 1.1 8.7 100 91.3 0 2
VV09G04080_SIM1_transcript_19747-simsii_cds 1 0.3 97.1 96.8 2.9 1
VV09G04240_WIL1_transcript_224-williamsianum_cds 1 2.1 100 97.9 0 1
VV09G05090_WIL1_transcript_261-williamsianum_cds 1.2 5.4 100 94.6 0 5
VV09G07180_WIL1_transcript_14568-williamsianum_cds 1 1.5 98.2 96.7 1.8 1
VV09G08710_SIM1_transcript_15886-simsii_cds 4.2 100 100 0 0 7
VV10G00200_DEL1_transcript_28820-delavayi_cds 1.8 75.5 100 24.5 0 1
VV10G04690_WIL1_transcript_6685-williamsianum_cds 2.3 59.1 100 40.9 0 8
