qseqid sseqid mean_paralogy_rate paralog_percent full_percent unique_percent missing_percent
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 2.2 56.5 98.3 41.8 1.7
VV02G03470_SIM1_transcript_5144-simsii_cds CM030789.1 1 3.9 100 96.1 0
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 1 4.2 100 95.8 0
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 2 64.8 95.5 30.7 4.5
VV03G07530_SIM1_transcript_11191-simsii_cds CM030795.1 0.1 0 6.2 6.2 93.8
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 1 2.3 100 97.7 0
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 1 1.8 100 98.2 0
VV06G12680_SIM1_transcript_1967-simsii_cds CM030788.1 1 0 100 100 0
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 1 2.4 100 97.6 0
VV07G12970_SIM1_transcript_28563-simsii_cds CM030800.1 1 0.9 96 95 4
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 1.1 10 100 90 0
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030794.1 0 0 2.9 2.9 97.1
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 1 1.3 99.2 97.9 0.8
VV11G03570_DEL1_transcript_2399-delavayi_cds CM030790.1 1 0 100 100 0
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 1 2.1 100 97.9 0
VV11G09320_WIL1_transcript_14297-williamsianum_cds CM030799.1 3 100 100 0 0
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 1 1.4 100 98.6 0
VV12G09960_DEL1_transcript_14823-delavayi_cds CM030793.1 1 0 100 100 0
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 1 2.3 100 97.7 0
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 1 0.4 100 99.6 0
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 1 1.8 100 98.2 0
VV14G02430_SIM1_transcript_22432-simsii_cds CM030797.1 1 0.1 99.7 99.6 0.3
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 1 1.8 99 97.2 1
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 1 2.6 98.7 96.1 1.3
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030788.1 0.1 0 6.3 6.3 93.7
VV15G07440_WIL1_transcript_16180-williamsianum_cds CM030789.1 1 0.4 100 99.6 0
VV16G08460_DEL1_transcript_5135-delavayi_cds CM030796.1 1 1.1 100 98.9 0
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 1 1.5 100 98.5 0
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 1 2 100 98 0
VV17G02640_DEL1_transcript_11874-delavayi_cds CM030795.1 1 0 100 100 0
VV18G02000_SIM1_transcript_24802-simsii_cds CM030798.1 0.9 0.8 91.7 90.9 8.3
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 1 1.5 100 98.5 0
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030793.1 0.4 0 38 38 62
VV18G14170_DEL1_transcript_12420-delavayi_cds CM030798.1 1 4.8 100 95.2 0
VV18G14170_DEL1_transcript_12420-delavayi_cds CM030800.1 0 0 1.6 1.6 98.4
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 1 2.8 98.2 95.4 1.8
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 1 2.8 98.2 95.4 1.8
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 0.4 0.8 38.7 37.8 61.3
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 1 1.4 99.9 98.6 0.1
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030788.1 0.2 0 17.5 17.5 82.5
VV00G14280_DEL1_transcript_16229-delavayi_cds CM030790.1 1 0.5 100 99.5 0
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 1 1.3 98.6 97.4 1.4
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 1.4 48.4 92.1 43.8 7.9
VV00G20570_SIM1_transcript_22930-simsii_cds CM030795.1 0.2 0 23.7 23.7 76.3
VV00G20570_SIM1_transcript_22930-simsii_cds CM030792.1 0.2 0 23.7 23.7 76.3
VV00G20570_SIM1_transcript_22930-simsii_cds CM030799.1 0.3 8 8 0 92
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 1 2.5 100 97.5 0
VV01G01060_SIM1_transcript_26254-simsii_cds CM030799.1 1.1 12.6 100 87.4 0
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 1 1.1 100 98.9 0
VV01G04530_DEL1_transcript_7153-delavayi_cds CM030793.1 1 0 100 100 0
VV01G05290_DEL1_transcript_4832-delavayi_cds CM030796.1 1 0.3 100 99.7 0
VV01G10050_WIL1_transcript_13679-williamsianum_cds CM030799.1 1 0 100 100 0
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 2.2 81.4 99.4 18 0.6
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 1 1.7 98.4 96.6 1.6
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 1.1 7.8 99.9 92 0.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030798.1 0.2 10.9 10.9 0 89.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030800.1 0.2 9.1 10.9 1.8 89.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030797.1 0.1 0 10.9 10.9 89.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030793.1 0.1 0 10.9 10.9 89.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030795.1 0.1 0 10.9 10.9 89.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030791.1 0.2 10.9 10.9 0 89.1
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030788.1 0.1 0 10.9 10.9 89.1
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 1.8 84.5 89.5 5 10.5
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 1.2 15.9 100 84.1 0
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 1 1 100 99 0
VV03G09260_SIM1_transcript_31353-simsii_cds CM030799.1 0.4 12.9 24.8 11.9 75.2
VV03G09260_SIM1_transcript_31353-simsii_cds CM030800.1 0.4 13.1 24.8 11.7 75.2
VV03G09260_SIM1_transcript_31353-simsii_cds CM030793.1 0.2 0 24.6 24.6 75.4
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 1.1 6.1 100 93.9 0
