qseqid sseqid summed_supercontig_length longest_intron_length total_intron_length exceeds_max_intron_length largest_intron_percent exceeds_max_intron_percent
VV01G01720_DEL1_transcript_2813-delavayi_cds CM030799.1 101211 41459 97930 TRUE 96.758257501655 TRUE
VV02G03470_SIM1_transcript_5144-simsii_cds CM030789.1 2922124 2919487 2920262 TRUE 99.936279227028 TRUE
VV03G03980_DEL1_transcript_14030-delavayi_cds CM030792.1 5439 1093 3555 TRUE 65.3612796469939 TRUE
VV03G07530_SIM1_transcript_11191-simsii_cds CM030792.1 55395 16763 52206 TRUE 94.2431627403195 TRUE
VV04G03160_WIL1_transcript_20092-williamsianum_cds CM030792.1 9100 1618 7228 TRUE 79.4285714285714 TRUE
VV04G10690_WIL1_transcript_8904-williamsianum_cds CM030794.1 19871 8037 16951 TRUE 85.3052186603593 TRUE
VV07G11870_DEL1_transcript_15992-delavayi_cds CM030800.1 4149 1027 2942 TRUE 70.9086526873946 TRUE
VV07G12970_SIM1_transcript_28563-simsii_cds CM030800.1 4750 3219 3509 TRUE 73.8736842105263 TRUE
VV08G06250_WIL1_transcript_20538-williamsianum_cds CM030792.1 33379747 33366320 33376541 TRUE 99.9903953735779 TRUE
VV09G06280_WIL1_transcript_14600-williamsianum_cds CM030799.1 6827 1133 4854 TRUE 71.1000439431668 TRUE
VV11G09140_DEL1_transcript_15444-delavayi_cds CM030788.1 5568 3137 4384 TRUE 78.735632183908 TRUE
VV11G09320_WIL1_transcript_14297-williamsianum_cds CM030799.1 25044 15656 17305 TRUE 69.0983868391631 TRUE
VV12G05390_DEL1_transcript_15015-delavayi_cds CM030792.1 6285 2417 4810 TRUE 76.5314240254574 TRUE
VV13G09500_DEL1_transcript_21643-delavayi_cds CM030796.1 5942 1003 4381 TRUE 73.7293840457758 TRUE
VV13G11390_DEL1_transcript_28452-delavayi_cds CM030790.1 6255 2696 4213 TRUE 67.3541167066347 TRUE
VV13G12180_SIM1_transcript_15733-simsii_cds CM030794.1 6805 1636 5055 TRUE 74.2836149889787 TRUE
VV14G02430_SIM1_transcript_22432-simsii_cds CM030797.1 5371 851 1243 TRUE 23.1428039471234 FALSE
VV14G09610_SIM1_transcript_11652-simsii_cds CM030792.1 13383 1725 10183 TRUE 76.0890682208772 TRUE
VV14G11110_WIL1_transcript_19167-williamsianum_cds CM030797.1 6151 958 4288 TRUE 69.7122419118842 TRUE
VV15G07440_WIL1_transcript_16180-williamsianum_cds CM030789.1 10982 8050 9578 TRUE 87.215443452923 TRUE
VV16G08460_DEL1_transcript_5135-delavayi_cds CM030796.1 3123 1103 1999 TRUE 64.0089657380724 TRUE
VV16G09340_WIL1_transcript_3375-williamsianum_cds CM030790.1 5961 2231 4348 TRUE 72.9407817480289 TRUE
VV17G01250_WIL1_transcript_14371-williamsianum_cds CM030799.1 6259 1244 4737 TRUE 75.6830164563029 TRUE
VV18G02000_SIM1_transcript_24802-simsii_cds CM030798.1 5544 2068 4132 TRUE 74.5310245310245 TRUE
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030793.1 1416 848 848 TRUE 59.8870056497175 TRUE
VV18G12560_WIL1_transcript_9399-williamsianum_cds CM030794.1 3870 821 2358 TRUE 60.9302325581395 TRUE
VV18G14170_DEL1_transcript_12420-delavayi_cds CM030798.1 33595 31027 31027 TRUE 92.3560053579402 TRUE
VV00G02700_SIM1_transcript_11046-simsii_cds CM030788.1 11797 5253 10086 TRUE 85.496312621853 TRUE
VV00G02700_SIM1_transcript_11046-simsii_cds CM030792.1 8986 1503 7275 TRUE 80.9592699755175 TRUE
VV00G02700_SIM1_transcript_11046-simsii_cds CM030794.1 2051 577 1390 TRUE 67.7718186250609 TRUE
VV00G11420_WIL1_transcript_16813-williamsianum_cds CM030796.1 9267 1079 5995 TRUE 64.6919175569224 TRUE
VV00G14280_DEL1_transcript_16229-delavayi_cds CM030790.1 3736 2110 2211 TRUE 59.1809421841542 TRUE
VV00G19360_WIL1_transcript_1321-williamsianum_cds CM030795.1 3863 1420 2320 TRUE 60.0569505565623 TRUE
VV00G20570_SIM1_transcript_22930-simsii_cds CM030797.1 3720903 3713539 3718314 TRUE 99.9304201157622 TRUE
VV00G20570_SIM1_transcript_22930-simsii_cds CM030799.1 31115 19057 30515 TRUE 98.071669612727 TRUE
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 7159 1342 4601 TRUE 64.2687526190809 TRUE
VV01G01060_SIM1_transcript_26254-simsii_cds CM030799.1 88953 86140 86140 TRUE 96.8376558407249 TRUE
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 13202 6858 10813 TRUE 81.9042569307681 TRUE
VV01G05290_DEL1_transcript_4832-delavayi_cds CM030796.1 4695 2454 2757 TRUE 58.7220447284345 TRUE
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 21550105 16173099 21543967 TRUE 99.9715175401698 TRUE
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 2438 407 830 TRUE 34.0442986054143 FALSE
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030791.1 59634891 59634523 59634523 TRUE 99.9993829115911 TRUE
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 5659864 5654272 5658033 TRUE 99.9676493993495 TRUE
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030798.1 16102296 16101928 16101928 TRUE 99.9977146116305 TRUE
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030800.1 22135606 22135269 22135269 TRUE 99.9984775659632 TRUE
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 34847 14200 31653 TRUE 90.8342181536431 TRUE
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 1076786 1055370 1067094 TRUE 99.0999140033396 TRUE
VV03G09260_SIM1_transcript_31353-simsii_cds CM030793.1 1055 617 617 TRUE 58.4834123222749 TRUE
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 4595 978 2825 TRUE 61.4798694232862 TRUE
VV03G09260_SIM1_transcript_31353-simsii_cds CM030799.1 5116040 5114759 5115373 TRUE 99.9869625726148 TRUE
VV03G09260_SIM1_transcript_31353-simsii_cds CM030800.1 62607 52693 61936 TRUE 98.9282348619164 TRUE
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 26141 13191 24111 TRUE 92.2344210244444 TRUE
VV03G10970_SIM1_transcript_11343-simsii_cds CM030798.1 4023 3355 3675 TRUE 91.3497390007457 TRUE
VV04G01530_DEL1_transcript_15735-delavayi_cds CM030795.1 1690622 1686778 1686778 TRUE 99.7726280623345 TRUE
VV04G03540_DEL1_transcript_8169-delavayi_cds CM030792.1 4112 2304 2580 TRUE 62.7431906614786 TRUE
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 17792 2804 11810 TRUE 66.3781474820144 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 45671904 36544618 45669188 TRUE 99.9940532367558 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 18252785 13334634 18250915 TRUE 99.9897549880744 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 45585685 29478569 45584311 TRUE 99.9969858959013 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030792.1 1367 909 909 TRUE 66.4959765910753 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030793.1 1369 911 911 TRUE 66.5449233016801 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 13318936 8023537 13317435 TRUE 99.9887303310114 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030795.1 1364 906 906 TRUE 66.4222873900293 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 6358137 6355401 6357220 TRUE 99.9855775363129 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030797.1 1367 909 909 TRUE 66.4959765910753 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030798.1 1368 910 910 TRUE 66.5204678362573 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030799.1 1367 909 909 TRUE 66.4959765910753 TRUE
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030800.1 2016199 2014583 2015492 TRUE 99.9649340169299 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030788.1 6932870 6932411 6932411 TRUE 99.9933793652557 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 35148861 35129460 35144159 TRUE 99.986622610616 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030790.1 9542 8693 8693 TRUE 91.1024942360092 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 39418471 31373679 39415164 TRUE 99.991610532027 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030794.1 11861115 11853878 11859071 TRUE 99.9827672187648 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 1856916 1808426 1846702 TRUE 99.4499481936717 TRUE
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030799.1 11277721 7324546 11277137 TRUE 99.9948216488065 TRUE
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 7125 781 3183 TRUE 44.6736842105263 FALSE
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 6698 738 4907 TRUE 73.260674828307 TRUE
VV06G02060_SIM1_transcript_2298-simsii_cds CM030800.1 64651 54675 64043 TRUE 99.0595659773244 TRUE
VV06G03530_SIM1_transcript_28928-simsii_cds CM030800.1 2697 794 928 TRUE 34.4086021505376 FALSE
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 6416 1102 4694 TRUE 73.1608478802993 TRUE
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 45341 36585 42668 TRUE 94.1046734743389 TRUE
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 151592 63123 146755 TRUE 96.8091983745844 TRUE
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 7178 1491 5613 TRUE 78.1972694343828 TRUE
VV07G06180_DEL1_transcript_18684-delavayi_cds CM030789.1 9048870 9048636 9048636 TRUE 99.9974140417533 TRUE
VV07G06180_DEL1_transcript_18684-delavayi_cds CM030795.1 11512 1637 9206 TRUE 79.9687282835302 TRUE
VV07G08140_DEL1_transcript_1902-delavayi_cds CM030789.1 1428 874 874 TRUE 61.2044817927171 TRUE
VV07G08140_DEL1_transcript_1902-delavayi_cds CM030800.1 9804 2437 6335 TRUE 64.6164830681355 TRUE
VV07G10730_DEL1_transcript_6255-delavayi_cds CM030788.1 2615 692 692 TRUE 26.4627151051625 FALSE
VV07G12390_WIL1_transcript_7323-williamsianum_cds CM030800.1 3425 423 1166 TRUE 34.043795620438 FALSE
VV08G00090_SIM1_transcript_12497-simsii_cds CM030792.1 172353 139254 166231 TRUE 96.4479875604138 TRUE
VV08G01030_SIM1_transcript_5930-simsii_cds CM030790.1 12147663 12105173 12143712 TRUE 99.9674752254816 TRUE
VV08G01030_SIM1_transcript_5930-simsii_cds CM030791.1 15083642 15083524 15083524 TRUE 99.9992176955672 TRUE
VV08G01030_SIM1_transcript_5930-simsii_cds CM030796.1 18269825 18269707 18269707 TRUE 99.9993541262711 TRUE
VV08G03580_SIM1_transcript_9086-simsii_cds CM030791.1 9033 3011 6025 TRUE 66.6998782242887 TRUE
VV08G03580_SIM1_transcript_9086-simsii_cds CM030800.1 2704 479 1035 TRUE 38.2766272189349 FALSE
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030788.1 2075 149 419 TRUE 20.1927710843373 FALSE
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030792.1 51465061 51460931 51461753 TRUE 99.9935723383287 TRUE
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030793.1 2069 152 416 TRUE 20.1063315611406 FALSE
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030795.1 2069 149 413 TRUE 19.961333977767 FALSE
VV08G07770_SIM1_transcript_8951-simsii_cds CM030791.1 10277 2485 8249 TRUE 80.2666147708475 TRUE
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030790.1 14792635 8694781 14784965 TRUE 99.9481498732308 TRUE
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030792.1 10172 8235 9753 TRUE 95.8808493904837 TRUE
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030793.1 20629340 20625606 20628654 TRUE 99.9966746391305 TRUE
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030795.1 1246 1080 1080 TRUE 86.677367576244 TRUE
VV08G11170_SIM1_transcript_6192-simsii_cds CM030790.1 4721 997 3163 TRUE 66.9985172632917 TRUE
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030789.1 1235068 1234953 1234953 TRUE 99.9906887717923 TRUE
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030792.1 2616 860 930 TRUE 35.5504587155963 FALSE
VV09G01630_DEL1_transcript_3569-delavayi_cds CM030795.1 7986 1726 5618 TRUE 70.3481091910844 TRUE
VV09G04080_SIM1_transcript_19747-simsii_cds CM030795.1 4358 1172 2143 TRUE 49.1739329967875 FALSE
VV09G04240_WIL1_transcript_224-williamsianum_cds CM030795.1 6828 1816 4786 TRUE 70.0937316930287 TRUE
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030788.1 4394278 4394134 4394134 TRUE 99.9967230111522 TRUE
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030794.1 31849003 31848801 31848801 TRUE 99.9993657572264 TRUE
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030795.1 4823 522 1794 TRUE 37.1967654986523 FALSE
VV09G07180_WIL1_transcript_14568-williamsianum_cds CM030799.1 12176 3430 10669 TRUE 87.6231931668857 TRUE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030788.1 40523045 40519018 40521113 TRUE 99.9952323424856 TRUE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030789.1 40901374 40898351 40898351 TRUE 99.9926090502485 TRUE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030792.1 2009 554 1003 TRUE 49.9253359880538 FALSE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030793.1 2012 553 1005 TRUE 49.9502982107356 FALSE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030794.1 7266655 7253644 7262829 TRUE 99.947348539321 TRUE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030795.1 2011 552 1004 TRUE 49.9254102436599 FALSE
VV09G08710_SIM1_transcript_15886-simsii_cds CM030798.1 22809 20517 21605 TRUE 94.7213819106493 TRUE
VV10G00200_DEL1_transcript_28820-delavayi_cds CM030797.1 18545972 18543150 18543150 TRUE 99.9847837578963 TRUE
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030790.1 825 596 596 TRUE 72.2424242424242 TRUE
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030795.1 11987507 11987082 11987082 TRUE 99.9964546423205 TRUE
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030798.1 8642 3841 7551 TRUE 87.3756074982643 TRUE
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030800.1 11815 3543 9948 TRUE 84.1980533220482 TRUE
VV10G04810_SIM1_transcript_29281-simsii_cds CM030800.1 27273 12357 25658 TRUE 94.0783925494078 TRUE
VV11G04690_SIM1_transcript_10838-simsii_cds CM030792.1 5392 1128 2924 TRUE 54.2284866468843 TRUE
VV11G05620_DEL1_transcript_11534-delavayi_cds CM030788.1 17545722 15157597 17542976 TRUE 99.9843494613673 TRUE
VV11G05620_DEL1_transcript_11534-delavayi_cds CM030795.1 9426655 9425110 9425856 TRUE 99.9915240347716 TRUE
VV11G07800_DEL1_transcript_28743-delavayi_cds CM030788.1 249404 121715 245730 TRUE 98.5268881012333 TRUE
VV11G08290_DEL1_transcript_16694-delavayi_cds CM030788.1 55678668 55673082 55676653 TRUE 99.9963810197471 TRUE
VV11G08290_DEL1_transcript_16694-delavayi_cds CM030795.1 773 584 584 TRUE 75.5498059508409 TRUE
VV12G02930_DEL1_transcript_25311-delavayi_cds CM030790.1 4331 1161 2806 TRUE 64.7887323943662 TRUE
VV12G05350_WIL1_transcript_21205-williamsianum_cds CM030798.1 9933 1156 7304 TRUE 73.5326688815061 TRUE
VV12G08230_DEL1_transcript_2082-delavayi_cds CM030792.1 14795 2908 12314 TRUE 83.2308212233863 TRUE
VV12G08560_DEL1_transcript_19480-delavayi_cds CM030798.1 5307 1220 3749 TRUE 70.6425475786697 TRUE
VV13G02790_SIM1_transcript_7608-simsii_cds CM030790.1 12599 2128 10659 TRUE 84.6019525359155 TRUE
VV13G02800_DEL1_transcript_13887-delavayi_cds CM030796.1 3757 999 1870 TRUE 49.7737556561086 FALSE
VV13G06090_DEL1_transcript_13852-delavayi_cds CM030794.1 5901 771 2212 TRUE 37.485172004745 FALSE
VV13G09980_DEL1_transcript_4751-delavayi_cds CM030796.1 3465 1154 1154 TRUE 33.3044733044733 FALSE
VV14G06090_DEL1_transcript_28779-delavayi_cds CM030797.1 8651 5376 6426 TRUE 74.2804300080915 TRUE
VV14G09000_SIM1_transcript_16900-simsii_cds CM030791.1 1943 285 285 TRUE 14.668039114771 FALSE
VV14G09000_SIM1_transcript_16900-simsii_cds CM030794.1 1957 300 300 TRUE 15.3295861011753 FALSE
VV14G10230_SIM1_transcript_25114-simsii_cds CM030798.1 7612 892 5375 TRUE 70.6121912769312 TRUE
VV14G11070_WIL1_transcript_1650-williamsianum_cds CM030795.1 5228 1052 3031 TRUE 57.9762815608263 TRUE
VV14G11380_SIM1_transcript_11994-simsii_cds CM030792.1 10797 1866 8502 TRUE 78.7440955821061 TRUE
VV14G11380_SIM1_transcript_11994-simsii_cds CM030797.1 36605633 36603748 36605063 TRUE 99.9984428626053 TRUE
VV15G00330_WIL1_transcript_22167-williamsianum_cds CM030792.1 80538 75830 78541 TRUE 97.5204251409273 TRUE
VV15G00330_WIL1_transcript_22167-williamsianum_cds CM030794.1 11360 2516 6718 TRUE 59.137323943662 TRUE
VV15G06810_DEL1_transcript_27890-delavayi_cds CM030788.1 2877 1297 1297 TRUE 45.0816823079597 FALSE
VV16G01560_DEL1_transcript_31096-delavayi_cds CM030790.1 122958 68572 116517 TRUE 94.7616259210462 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030788.1 57760683 17812822 57757928 TRUE 99.9952303195584 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030789.1 36068742 22614010 36068175 TRUE 99.9984280017307 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030790.1 39029203 34621065 39028582 TRUE 99.9984088837274 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030791.1 30461240 24454502 30460272 TRUE 99.9968221910861 TRUE
